country,competency_id,similarity_score
Zimbabwe,GOV_VISION,0.6069527268409729
Zimbabwe,GOV_GOVERNANCE,0.6603254079818726
Zimbabwe,GOV_DIGITAL_CAPACITY,0.5091486573219299
Zimbabwe,GOV_ADAPTABILITY,0.46603143215179443
Zimbabwe,TECH_MATURITY,0.5789672136306763
Zimbabwe,TECH_INNOVATION,0.5276987552642822
Zimbabwe,TECH_HUMAN_CAPITAL,0.4364176392555237
Zimbabwe,DATA_INFRASTRUCTURE,0.6411753296852112
Zimbabwe,DATA_AVAILABILITY,0.5809828639030457
African Union,GOV_VISION,0.6380008459091187
African Union,GOV_GOVERNANCE,0.6675495505332947
African Union,GOV_DIGITAL_CAPACITY,0.507636308670044
African Union,GOV_ADAPTABILITY,0.44968342781066895
African Union,TECH_MATURITY,0.6204959154129028
African Union,TECH_INNOVATION,0.5399578809738159
African Union,TECH_HUMAN_CAPITAL,0.4325631558895111
African Union,DATA_INFRASTRUCTURE,0.6681302785873413
African Union,DATA_AVAILABILITY,0.6553391218185425
