country,competency_id,similarity_score
Rwanda,C1,0.6476913094520569
Rwanda,C2,0.47603264451026917
Rwanda,C3,0.6944879293441772
Rwanda,C4,0.6940165162086487
Rwanda,C5,0.5781868696212769
Rwanda,C6,0.6374839544296265
Rwanda,C7,0.5875458717346191
Rwanda,C8,0.48178547620773315
Rwanda,C9,0.6487573385238647
Mauritius,C1,0.6380612254142761
Mauritius,C2,0.48813873529434204
Mauritius,C3,0.6204967498779297
Mauritius,C4,0.6554333567619324
Mauritius,C5,0.4994387626647949
Mauritius,C6,0.6218610405921936
Mauritius,C7,0.5823587775230408
Mauritius,C8,0.4650946259498596
Mauritius,C9,0.6350542306900024
Namibia,C1,0.7303826808929443
Namibia,C2,0.5945883393287659
Namibia,C3,0.6605143547058105
Namibia,C4,0.704275906085968
Namibia,C5,0.6732214689254761
Namibia,C6,0.6244200468063354
Namibia,C7,0.6058964133262634
Namibia,C8,0.5170822739601135
Namibia,C9,0.6371979713439941
