country,dimension,rhetoric_raw,readiness_raw,text_proximate,pillar,rhetoric_z,readiness_z
Benin,Vision,0.6258676648139954,100.0,True,Government,-0.16763408506154145,0.7844645405527361
Benin,Governance and Ethics,0.6222699284553528,56.21316266,True,Government,-0.48044186195420646,-0.7287254682466183
Benin,Digital Capacity,0.5689612627029419,43.51513442,False,Government,0.6434947634851221,0.050528813986305286
Benin,Adaptability,0.4961747527122497,39.94480016,False,Government,0.024052193551691952,-0.19902265320751805
Benin,Maturity,0.5853433012962341,5.992781233,False,Technology Sector,-1.177774620795905,-1.2022816051298097
Benin,Innovation Capacity,0.5507835745811462,36.78841809,False,Technology Sector,-0.3125540673670865,-0.992151171848941
Benin,Human Capital,0.4571652114391327,30.12650243,False,Technology Sector,0.5232827951230421,-0.8589912705770799
Benin,Infrastructure,0.6055389642715454,26.59020079,False,Data and Infrastructure,-1.3459165148516536,-0.7503552815715292
Benin,Data Availability,0.6186462640762329,47.41968283,False,Data and Infrastructure,0.6794506893319061,-0.30854414027194116
Cote d'Ivoire,Vision,0.6209853291511536,0.0,True,Government,-0.34838027911326575,-1.5689290811054724
Cote d'Ivoire,Governance and Ethics,0.63303142786026,53.55253818,True,Government,-0.231276000574356,-0.949249735112183
Cote d'Ivoire,Digital Capacity,0.600544273853302,34.20874106,False,Government,1.5287449768639008,-0.790986922812111
Cote d'Ivoire,Adaptability,0.5916653871536255,36.82618047,False,Government,2.378364491107136,-0.6801942305476179
Cote d'Ivoire,Maturity,0.6368741393089294,8.260002397,False,Technology Sector,1.2394486556310493,-0.8392598111712668
Cote d'Ivoire,Innovation Capacity,0.6014596223831177,37.02558891,False,Technology Sector,1.8364096446564873,-0.9607023238291983
Cote d'Ivoire,Human Capital,0.4949499070644378,33.01390347,False,Technology Sector,1.9971715966255197,-0.35800696371393465
Cote d'Ivoire,Infrastructure,0.6368154883384705,31.64143793,False,Data and Infrastructure,0.06779549045355568,-0.01713167864641952
Cote d'Ivoire,Data Availability,0.6033539175987244,44.837767,False,Data and Infrastructure,-0.2760288500916302,-0.5544415991662495
Egypt,Vision,0.618086576461792,100.0,True,Government,-0.45569336700414265,0.7844645405527361
Egypt,Governance and Ethics,0.6378793120384216,70.02051421,True,Government,-0.11903074629588847,0.41568859725084123
Egypt,Digital Capacity,0.5161568522453308,58.34293655,False,Government,-0.8365767661862287,1.391309108977841
